VC Firm,Stage,New meetings?,New terms sheets?,Areas of Interest,Check Size,Lead/Co-invest,Notes,Location,Last Modified
Indio VC,,Taking new meetings,Not offering new term sheets,,,,,,2020-06-11T16:11:42.000Z
Impression Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,Fintech,$1M-2.5M,Lead,,"Toronto, ON, Canada",2020-06-13T01:08:25.000Z
nfinitiv,,Taking new meetings,Offering new term sheets,,,,,Luxembourg,2020-06-13T01:10:17.000Z
RTP Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,Kapur at rtp dot Vc if you want to reach out,"New York City, NY, United States",2020-06-13T01:14:52.000Z
Frontier Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,Focus on companies with network effects e.g. marketplaces and SaaS,,,Taking video meetings,"Cupertino, CA, United States",2020-06-13T01:16:12.000Z
Yamaha Motor Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,,$500K-$3M,,,"San Francisco Bay Area, California, United States",2020-06-14T21:58:43.000Z
Jackson Square Ventures,"Series A, Series B",Taking new meetings,Unknown if offering term sheets,"Fintech, B2B SaaS, marketplaces",,,,"San Francisco, California, United States",2020-06-16T01:50:12.000Z
Fort Ross Ventures,"Series A, Series B, Series C",Taking new meetings,Unknown if offering term sheets,,,,,"Menlo Park, California, United States",2020-06-16T01:52:40.000Z
Xecced Ventures,Seed,Taking new meetings,Unknown if offering term sheets,,,,Industry 4.0 (AI),"London, United Kingdom",2020-06-21T02:25:11.000Z
Surplus Invest,"Seed, Series A",Taking new meetings,Offering new term sheets,"PropTech; Mobility, Energy, ConTech",,,,"Munich, Germany",2020-06-24T02:30:44.000Z
Closed Loop Ventures,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"Polymers & Packaging, Supply Chain, AgTech, (waste reduction in) Apparel",,"Lead, Co-Invest",,"New York, NY, United States",2020-07-10T01:44:58.000Z
Global Millenial Capital,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"B2C, consumer tech, US-based companies",,,,"Dubai, UAE",2020-07-20T02:06:18.000Z
Cataliize Venture Debt,,Taking new meetings,Unknown if offering term sheets,Offering venture debt,,,,Global,2020-07-23T02:46:08.000Z
Omega Venture Partners,Series C,Taking new meetings,Offering new term sheets,High growth companies,,,,"Palo Alto, California, United States",2020-07-25T00:56:42.000Z
Okta Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Identity, security, privacy",,Co-Invest,We have made 3 public investments since April (all non-lead) and are in the process of closing on 2 others.,"San Francisco, California, United States",2020-07-29T18:24:22.000Z
MARL Accelerator,Pre-Seed,Taking new meetings,Offering new term sheets,"Enterprise Software, Mobility, AR/VR, Robotics, Logistics, 5G",,,,"Fremont, CA United States",2020-07-30T04:31:33.000Z
Barclay Street Ventures,Seed,Focusing on current portfolio,Unknown if offering term sheets,,,,Open for AI investments,"New York, New York, United States",2020-08-02T00:14:31.000Z
Company Ventures,"Seed, Series A, Pre-Seed",Taking new meetings,Unknown if offering term sheets,,,,"NYC Pre-Seed/Seed Fund, operator of rent-free, no-equity Grand Central Tech Accelerator","New York, NY, United States",2020-08-04T02:25:29.000Z
Clearstone,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"FinTech, EdTech, and Transport for marginalized communities",,,,"Los Angeles, California, United States",2020-08-06T19:38:54.000Z
ACME Capital,"Series A, Series B, Series C",Taking new meetings,Offering new term sheets,,,,,"San Francisco, California, United States",2020-08-11T23:33:52.000Z
SignalFire,"Seed, Series A, Series B, Series C",Taking new meetings,Offering new term sheets,,,,Industry / Sector / Stage agnostic,"San Francisco, California, United States",2020-08-12T21:30:21.000Z
The LegalTech Fund,,Taking new meetings,Offering new term sheets,,,,,,2020-08-13T19:21:28.000Z
Blockchain Founders Fund,"Pre-Seed, Seed",Taking new meetings,Not offering new term sheets,,,,,"Beijing, Singapore, Vancouver",2020-08-13T22:32:41.000Z
Starting Line,Seed,Taking new meetings,Offering new term sheets,,,,,"Chicago, Illinois, United States",2020-08-13T22:34:37.000Z
Sterling Road,Pre-Seed,Taking new meetings,Offering new term sheets,B2B,$150k,,,"San Francisco, CA, United States",2020-08-13T22:34:38.000Z
Stat Zero Ventures,"Pre-Seed, Seed, Series A",Taking new meetings,Unknown if offering term sheets,,,,"Looking for underestimated founders; Investing across education / workforce, health, sustainability, and digital/physical infrastructure","San Francisco, CA, United States",2020-08-13T22:35:14.000Z
Engineering Capital,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,,,Lead,Leads Pre-seed and Seed rounds in companies with technical risk,"Menlo Park, California, United States",2020-09-02T04:19:24.000Z
Liberty Mutual Strategic Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Fintech, proptech, insurtech, mobility, marketplaces globally",$250K-$5M,"Lead, Co-Invest",,"Boston, MA, United States",2020-09-04T15:29:56.000Z
PropTech Angel Group,"Pre-Seed, Seed",Taking new meetings,Not offering new term sheets,"Focused exclusively on Real Estate Tech startups. Best at commercial, Seed and Pre-Seed.",,Co-Invest,,,2020-09-10T20:32:34.000Z
KB Partners,"Pre-Seed, Seed, Series A",Taking new meetings,Unknown if offering term sheets,"Health/fitness, sports-tech, gaming",$500K-$5M,"Lead, Co-Invest",Looking at companies from pre-revenue to those with up to 100K+ in MRR,"Highland Park, Illinois, United States",2020-09-21T03:30:35.000Z
Delphi VC,"Seed, Series A",Taking new meetings,Unknown if offering term sheets,,,,,,2020-09-28T01:24:54.000Z
SOSV,Pre-Seed,Taking new meetings,Offering new term sheets,Deep Tech focus on life sciences and hardware. ,,"Lead, Co-Invest",,,2020-09-30T00:51:21.000Z
OpenView,"Series A, Series B, Series C",Taking new meetings,Offering new term sheets,All enterprise software,,,"An expansion stage venture firm that helps grow software companies like Instructure, Kareo, Datadog, and Expensify into market leaders","Boston, Ma, United States",2020-10-12T23:13:59.000Z
Full In Partners,"Series B, Series C",Taking new meetings,Offering new term sheets,,,,,"New York City, New York, United States",2020-10-16T15:47:22.000Z
Impact America Fund,"Seed, Series A",Taking new meetings,Unknown if offering term sheets,,,Co-Invest,,"San Francisco Bay Area, California, United States",2020-10-22T02:42:54.000Z
Reflexion Capital,,Taking new meetings,Offering new term sheets,"We are supporting with 1 to 3M € tickets tech B2B entrepreneurs willing to grow while remaining profitable in France, Belgium and Switzerland.",€1-3M,,,"Paris, France",2020-11-06T18:23:33.000Z
Mindset Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,Latin America,2020-11-08T21:53:41.000Z
Threshold Ventures,"Series A, Series B",Taking new meetings,Offering new term sheets,"Marketplaces, software, healthcare",,,,"Menlo Park, California, United States",2020-11-17T05:14:56.000Z
Monozukuri Venture,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,Hardware startups only,,,,"Kyoto, Japan and New York, NY, USA",2020-12-07T16:00:51.000Z
Tech Council Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,,,,,,2020-12-16T23:01:07.000Z
,,,,,,,,,2021-11-05T21:47:58.000Z
Converge,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new term sheets,"SaaS, DevOps, machine learning, automation, robotics, digital-to-physical",$250K - $1M,"Lead, Co-invest",Women-led firm,"Boston, MA",2021-11-05T21:49:23.000Z
Hive Hatch,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,,,,,2021-11-05T21:56:56.000Z
